Site ID,Site Name,Site Format,Region,City,County,Store Size,Open Date,Status
JI0Y,Techno Point,Digital,Bucovina,Suceava,Suceava,6041,03-05-2015,Active
VUZZ,Smart Depot,Fresh,Transilvania,Alba Iulia,Alba,19719,10-08-2021,Inactive
PKH1,Techno Store,Smart,Dobrogea,Tulcea,Tulcea,17449,01-02-2016,Inactive
30T9,Max Store,Smart,Moldova,Bacău,Bacău,23089,15-04-2018,Inactive
CX19,Metro Point,Smart,Bucovina,Suceava,Suceava,17455,12-02-2018,Inactive
MYZY,Eco Center,Fresh,Moldova,Bacău,Bacău,22502,06-03-2023,Active
J7YH,Smart Hub,Smart,Maramureș,Baia Mare,Maramureș,12505,12-05-2015,Inactive
H75L,Metro Store,Digital,Moldova,Iași,Iași,26064,23-02-2020,Active
0T0P,Eco Point,Trends,Crișana,Beiuș,Bihor,12186,20-07-2016,Inactive
FFYV,Nova Depot,Digital,Transilvania,Cluj-Napoca,Cluj,24526,01-04-2020,Inactive
ZYTJ,Eco Center,Smart,Crișana,Oradea,Bihor,14617,16-11-2019,Active
5JSG,Nova Plaza,Trends,Oltenia,Râmnicu Vâlcea,Vâlcea,25937,10-09-2020,Active
T2TA,Techno Plaza,Digital,Oltenia,Râmnicu Vâlcea,Vâlcea,5638,03-04-2016,Inactive
IUC0,Delta Depot,Fresh,Muntenia,Slobozia,Ialomița,9207,26-05-2022,Inactive
SV87,Eco Depot,Trends,Dobrogea,Constanța,Constanța,18074,14-07-2022,Inactive
EIMV,Max Hub,Fresh,Maramureș,Baia Mare,Maramureș,5235,18-10-2015,Active
4CIY,Metro Hub,Fresh,Muntenia,Pitești,Argeș,28702,27-05-2021,Inactive
GDPP,Viva Depot,Smart,Crișana,Oradea,Bihor,27064,30-04-2022,Active
M5IG,Eco Store,Fresh,Muntenia,Târgoviște,Dâmbovița,18824,21-01-2017,Inactive
P5TB,Nova Store,Smart,Muntenia,Ploiești,Prahova,29692,26-08-2017,Active
HOCN,Nova Base,Trends,Maramureș,Baia Mare,Maramureș,19909,14-03-2018,Inactive
GHC0,Delta Depot,Trends,Transilvania,Sibiu,Sibiu,6873,25-07-2015,Inactive
8CGV,Nova Base,Digital,Moldova,Iași,Iași,8928,22-05-2021,Active
CXUL,Techno Point,Fresh,Crișana,Beiuș,Bihor,26945,12-01-2023,Inactive
EXQ7,Techno Center,Smart,Banat,Timișoara,Timiș,20017,19-12-2021,Active
SEMC,Viva Plaza,Trends,Bucovina,Suceava,Suceava,14338,08-10-2016,Inactive
93TY,Eco Center,Smart,Maramureș,Sighetu Marmației,Maramureș,9400,19-12-2017,Active
FKHM,Nova Base,Digital,Transilvania,Alba Iulia,Alba,13228,28-07-2015,Active
A1WJ,Viva Plaza,Digital,Dobrogea,Tulcea,Tulcea,23379,09-02-2015,Active
T4UF,Techno Store,Smart,Bucovina,Suceava,Suceava,15101,02-02-2019,Active
ID25,Max Depot,Fresh,Muntenia,București,București,12757,27-10-2016,Active
0L72,Viva Base,Trends,Maramureș,Baia Mare,Maramureș,10216,31-10-2023,Active
I3QK,Metro Hub,Fresh,Maramureș,Baia Mare,Maramureș,5775,27-05-2022,Active
58KX,Smart Center,Trends,Dobrogea,Constanța,Constanța,5904,17-04-2016,Inactive
BVM2,Techno Plaza,Smart,Maramureș,Baia Mare,Maramureș,17622,19-06-2021,Active
PS3Y,Smart Center,Trends,Transilvania,Sibiu,Sibiu,19132,14-10-2015,Inactive
4ZKL,Metro Base,Trends,Maramureș,Baia Mare,Maramureș,18185,26-10-2022,Inactive
P7Y6,Max Hub,Digital,Oltenia,Râmnicu Vâlcea,Vâlcea,22954,02-01-2015,Inactive
2VLP,Eco Depot,Digital,Oltenia,Craiova,Dolj,29115,26-11-2016,Active
WM31,Techno Hub,Fresh,Muntenia,Bolintin Vale,Giurgiu,11525,26-08-2016,Active
W1Q5,Metro Plaza,Digital,Banat,Lugoj,Timiș,21199,25-06-2019,Active
A11D,Nova Point,Fresh,Moldova,Iași,Iași,10763,21-10-2022,Inactive
7EEQ,Nova Store,Digital,Moldova,Bacău,Bacău,25075,25-01-2023,Inactive
0RJI,Techno Point,Digital,Banat,Lugoj,Timiș,25537,06-09-2017,Inactive
KJLT,Viva Base,Fresh,Banat,Lugoj,Timiș,12577,18-04-2019,Active
OTOH,Smart Base,Digital,Oltenia,Râmnicu Vâlcea,Vâlcea,24139,19-10-2022,Active
AM14,Viva Base,Fresh,Moldova,Bacău,Bacău,20998,17-06-2017,Inactive
NY20,Viva Center,Fresh,Muntenia,Pitești,Argeș,25390,27-12-2020,Active
XDP5,Eco Hub,Smart,Muntenia,Ploiești,Prahova,13524,02-04-2019,Inactive
M5K8,Max Store,Trends,Oltenia,Târgu Jiu,Gorj,7683,10-04-2020,Active
